cohort,field_concept,count,denominator,percent
placsp_all_selected,expediente,218461,218461,100.0
placsp_all_selected,buyer_identifier,218461,218461,100.0
placsp_all_selected,cpv,218329,218461,99.9396
placsp_all_selected,budget,218461,218461,100.0
placsp_all_selected,estimated_value,218423,218461,99.9826
placsp_all_selected,deadline,206779,218461,94.6526
placsp_all_selected,execution_location,217369,218461,99.5001
placsp_all_selected,status,218461,218461,100.0
placsp_all_selected,source_link,218461,218461,100.0
placsp_all_selected,document_links,205561,218461,94.0951
placsp_all_selected,award_information,100318,218461,45.9203
placsp_all_selected,winner,95719,218461,43.8151
placsp_all_selected,lots,38688,218461,17.7093
placsp_all_selected,buyer_nif,31188,218461,14.2762
placsp_aggregated_selected,expediente,187273,187273,100.0
placsp_aggregated_selected,buyer_identifier,187273,187273,100.0
placsp_aggregated_selected,cpv,187265,187273,99.9957
placsp_aggregated_selected,budget,187273,187273,100.0
placsp_aggregated_selected,estimated_value,187250,187273,99.9877
placsp_aggregated_selected,deadline,177766,187273,94.9235
placsp_aggregated_selected,execution_location,186181,187273,99.4169
placsp_aggregated_selected,status,187273,187273,100.0
placsp_aggregated_selected,source_link,187273,187273,100.0
placsp_aggregated_selected,document_links,177504,187273,94.7836
placsp_aggregated_selected,award_information,83934,187273,44.8191
placsp_aggregated_selected,winner,80200,187273,42.8252
placsp_aggregated_selected,lots,32550,187273,17.381
gencat_es_agregada_NO,expediente,87914,88077,99.8149
gencat_es_agregada_NO,buyer_identifier,88077,88077,100.0
gencat_es_agregada_NO,buyer_nif,0,88077,0.0
gencat_es_agregada_NO,supplier_identifier,67558,88077,76.7033
gencat_es_agregada_NO,cpv,87166,88077,98.9657
gencat_es_agregada_NO,budget_any_scope,86074,88077,97.7259
gencat_es_agregada_NO,budget_procedure,86031,88077,97.677
gencat_es_agregada_NO,estimated_value_any_scope,87776,88077,99.6583
gencat_es_agregada_NO,estimated_value_procedure,87776,88077,99.6583
gencat_es_agregada_NO,deadline,78501,88077,89.1277
gencat_es_agregada_NO,execution_location,87707,88077,99.5799
gencat_es_agregada_NO,status,88077,88077,100.0
gencat_es_agregada_NO,source_link,88077,88077,100.0
gencat_es_agregada_NO,phase_json_link,88077,88077,100.0
gencat_es_agregada_NO,award_information,67559,88077,76.7045
gencat_es_agregada_NO,winner,67558,88077,76.7033
gencat_es_agregada_SÍ,expediente,982892,982892,100.0
gencat_es_agregada_SÍ,buyer_identifier,982892,982892,100.0
gencat_es_agregada_SÍ,buyer_nif,0,982892,0.0
gencat_es_agregada_SÍ,supplier_identifier,982892,982892,100.0
gencat_es_agregada_SÍ,cpv,802347,982892,81.6312
gencat_es_agregada_SÍ,budget_any_scope,833243,982892,84.7746
gencat_es_agregada_SÍ,budget_procedure,0,982892,0.0
gencat_es_agregada_SÍ,estimated_value_any_scope,865633,982892,88.07
gencat_es_agregada_SÍ,estimated_value_procedure,0,982892,0.0
gencat_es_agregada_SÍ,deadline,0,982892,0.0
gencat_es_agregada_SÍ,execution_location,812018,982892,82.6152
gencat_es_agregada_SÍ,status,982892,982892,100.0
gencat_es_agregada_SÍ,source_link,982892,982892,100.0
gencat_es_agregada_SÍ,phase_json_link,982892,982892,100.0
gencat_es_agregada_SÍ,award_information,982892,982892,100.0
gencat_es_agregada_SÍ,winner,982892,982892,100.0
gencat_all,expediente,1070806,1070969,99.9848
gencat_all,buyer_identifier,1070969,1070969,100.0
gencat_all,buyer_nif,0,1070969,0.0
gencat_all,supplier_identifier,1050450,1070969,98.0841
gencat_all,cpv,889513,1070969,83.0568
gencat_all,budget_any_scope,919317,1070969,85.8397
gencat_all,budget_procedure,86031,1070969,8.033
gencat_all,estimated_value_any_scope,953409,1070969,89.023
gencat_all,estimated_value_procedure,87776,1070969,8.1959
gencat_all,deadline,78501,1070969,7.3299
gencat_all,execution_location,899725,1070969,84.0104
gencat_all,status,1070969,1070969,100.0
gencat_all,source_link,1070969,1070969,100.0
gencat_all,phase_json_link,1070969,1070969,100.0
gencat_all,award_information,1050451,1070969,98.0842
gencat_all,winner,1050450,1070969,98.0841
