source_field,month,row_count
data_publicacio_anunci,2016-12,2
data_publicacio_anunci,2017-01,2
data_publicacio_anunci,2017-03,1
data_publicacio_anunci,2017-04,7
data_publicacio_anunci,2017-05,1
data_publicacio_anunci,2017-06,1
data_publicacio_anunci,2017-07,3
data_publicacio_anunci,2017-10,1
data_publicacio_anunci,2017-11,2
data_publicacio_anunci,2017-12,1
data_publicacio_anunci,2018-02,1
data_publicacio_anunci,2018-03,3
data_publicacio_anunci,2018-04,1
data_publicacio_anunci,2018-05,4
data_publicacio_anunci,2018-06,1
data_publicacio_anunci,2018-07,2
data_publicacio_anunci,2018-09,1
data_publicacio_anunci,2018-10,1
data_publicacio_anunci,2018-11,5
data_publicacio_anunci,2018-12,3
data_publicacio_anunci,2019-01,1
data_publicacio_anunci,2019-02,25
data_publicacio_anunci,2019-03,1
data_publicacio_anunci,2019-04,3
data_publicacio_anunci,2019-05,3
data_publicacio_anunci,2019-06,2
data_publicacio_anunci,2019-07,4
data_publicacio_anunci,2019-08,2
data_publicacio_anunci,2019-09,3
data_publicacio_anunci,2019-10,12
data_publicacio_anunci,2019-11,2
data_publicacio_anunci,2019-12,1
data_publicacio_anunci,2020-01,13
data_publicacio_anunci,2020-02,1
data_publicacio_anunci,2020-03,1
data_publicacio_anunci,2020-06,3
data_publicacio_anunci,2020-07,5
data_publicacio_anunci,2020-09,4
data_publicacio_anunci,2020-10,8
data_publicacio_anunci,2020-11,12
data_publicacio_anunci,2020-12,2
data_publicacio_anunci,2021-01,1
data_publicacio_anunci,2021-02,5
data_publicacio_anunci,2021-03,16
data_publicacio_anunci,2021-04,11
data_publicacio_anunci,2021-05,21
data_publicacio_anunci,2021-06,33
data_publicacio_anunci,2021-07,18
data_publicacio_anunci,2021-08,9
data_publicacio_anunci,2021-09,15
data_publicacio_anunci,2021-10,13
data_publicacio_anunci,2021-11,30
data_publicacio_anunci,2021-12,15
data_publicacio_anunci,2022-01,13
data_publicacio_anunci,2022-02,24
data_publicacio_anunci,2022-03,25
data_publicacio_anunci,2022-04,35
data_publicacio_anunci,2022-05,65
data_publicacio_anunci,2022-06,30
data_publicacio_anunci,2022-07,45
data_publicacio_anunci,2022-08,50
data_publicacio_anunci,2022-09,33
data_publicacio_anunci,2022-10,48
data_publicacio_anunci,2022-11,37
data_publicacio_anunci,2022-12,48
data_publicacio_anunci,2023-01,93
data_publicacio_anunci,2023-02,62
data_publicacio_anunci,2023-03,78
data_publicacio_anunci,2023-04,73
data_publicacio_anunci,2023-05,107
data_publicacio_anunci,2023-06,87
data_publicacio_anunci,2023-07,82
data_publicacio_anunci,2023-08,70
data_publicacio_anunci,2023-09,97
data_publicacio_anunci,2023-10,185
data_publicacio_anunci,2023-11,174
data_publicacio_anunci,2023-12,182
data_publicacio_anunci,2024-01,237
data_publicacio_anunci,2024-02,240
data_publicacio_anunci,2024-03,257
data_publicacio_anunci,2024-04,352
data_publicacio_anunci,2024-05,458
data_publicacio_anunci,2024-06,608
data_publicacio_anunci,2024-07,713
data_publicacio_anunci,2024-08,538
data_publicacio_anunci,2024-09,1003
data_publicacio_anunci,2024-10,1808
data_publicacio_anunci,2024-11,2403
data_publicacio_anunci,2024-12,2504
data_publicacio_anunci,2025-01,2726
data_publicacio_anunci,2025-02,3007
data_publicacio_anunci,2025-03,3279
data_publicacio_anunci,2025-04,3440
data_publicacio_anunci,2025-05,3725
data_publicacio_anunci,2025-06,3390
data_publicacio_anunci,2025-07,3860
data_publicacio_anunci,2025-08,1715
data_publicacio_anunci,2025-09,2850
data_publicacio_anunci,2025-10,3670
data_publicacio_anunci,2025-11,3688
data_publicacio_anunci,2025-12,2971
data_publicacio_anunci,2026-01,2370
data_publicacio_anunci,2026-02,2960
data_publicacio_anunci,2026-03,3292
data_publicacio_anunci,2026-04,3273
data_publicacio_anunci,2026-05,3503
data_publicacio_anunci,2026-06,3493
data_publicacio_anunci,2026-07,3801
data_publicacio_anunci,2026-08,1904
data_publicacio_anunci,2026-09,2425
data_publicacio_adjudicacio,2017-05,1
data_publicacio_adjudicacio,2018-09,1
data_publicacio_adjudicacio,2018-11,1
data_publicacio_adjudicacio,2019-02,1
data_publicacio_adjudicacio,2019-03,2
data_publicacio_adjudicacio,2019-04,20
data_publicacio_adjudicacio,2019-05,1
data_publicacio_adjudicacio,2019-07,1
data_publicacio_adjudicacio,2019-08,1
data_publicacio_adjudicacio,2019-09,6
data_publicacio_adjudicacio,2019-10,1
data_publicacio_adjudicacio,2019-11,1
data_publicacio_adjudicacio,2019-12,2
data_publicacio_adjudicacio,2020-01,2
data_publicacio_adjudicacio,2020-03,7
data_publicacio_adjudicacio,2020-05,1
data_publicacio_adjudicacio,2020-08,1
data_publicacio_adjudicacio,2020-09,1
data_publicacio_adjudicacio,2020-10,3
data_publicacio_adjudicacio,2020-11,2
data_publicacio_adjudicacio,2020-12,1
data_publicacio_adjudicacio,2021-01,1
data_publicacio_adjudicacio,2021-03,2
data_publicacio_adjudicacio,2021-04,2
data_publicacio_adjudicacio,2021-05,9
data_publicacio_adjudicacio,2021-06,8
data_publicacio_adjudicacio,2021-07,3
data_publicacio_adjudicacio,2021-08,9
data_publicacio_adjudicacio,2021-09,31
data_publicacio_adjudicacio,2021-10,14
data_publicacio_adjudicacio,2021-11,11
data_publicacio_adjudicacio,2021-12,21
data_publicacio_adjudicacio,2022-01,8
data_publicacio_adjudicacio,2022-02,17
data_publicacio_adjudicacio,2022-03,8
data_publicacio_adjudicacio,2022-04,17
data_publicacio_adjudicacio,2022-05,17
data_publicacio_adjudicacio,2022-06,24
data_publicacio_adjudicacio,2022-07,18
data_publicacio_adjudicacio,2022-08,16
data_publicacio_adjudicacio,2022-09,26
data_publicacio_adjudicacio,2022-10,7
data_publicacio_adjudicacio,2022-11,23
data_publicacio_adjudicacio,2022-12,19
data_publicacio_adjudicacio,2023-01,28
data_publicacio_adjudicacio,2023-02,34
data_publicacio_adjudicacio,2023-03,41
data_publicacio_adjudicacio,2023-04,51
data_publicacio_adjudicacio,2023-05,59
data_publicacio_adjudicacio,2023-06,34
data_publicacio_adjudicacio,2023-07,41
data_publicacio_adjudicacio,2023-08,19
data_publicacio_adjudicacio,2023-09,54
data_publicacio_adjudicacio,2023-10,46
data_publicacio_adjudicacio,2023-11,49
data_publicacio_adjudicacio,2023-12,65
data_publicacio_adjudicacio,2024-01,98
data_publicacio_adjudicacio,2024-02,85
data_publicacio_adjudicacio,2024-03,97
data_publicacio_adjudicacio,2024-04,113
data_publicacio_adjudicacio,2024-05,143
data_publicacio_adjudicacio,2024-06,127
data_publicacio_adjudicacio,2024-07,220
data_publicacio_adjudicacio,2024-08,123
data_publicacio_adjudicacio,2024-09,176
data_publicacio_adjudicacio,2024-10,349
data_publicacio_adjudicacio,2024-11,661
data_publicacio_adjudicacio,2024-12,1599
data_publicacio_adjudicacio,2025-01,2700
data_publicacio_adjudicacio,2025-02,2928
data_publicacio_adjudicacio,2025-03,3144
data_publicacio_adjudicacio,2025-04,2778
data_publicacio_adjudicacio,2025-05,3337
data_publicacio_adjudicacio,2025-06,3125
data_publicacio_adjudicacio,2025-07,3800
data_publicacio_adjudicacio,2025-08,2014
data_publicacio_adjudicacio,2025-09,2486
data_publicacio_adjudicacio,2025-10,3303
data_publicacio_adjudicacio,2025-11,3266
data_publicacio_adjudicacio,2025-12,3369
data_publicacio_adjudicacio,2026-01,2444
data_publicacio_adjudicacio,2026-02,3216
data_publicacio_adjudicacio,2026-03,3368
data_publicacio_adjudicacio,2026-04,2898
data_publicacio_adjudicacio,2026-05,3171
data_publicacio_adjudicacio,2026-06,3440
data_publicacio_adjudicacio,2026-07,3719
data_publicacio_adjudicacio,2026-08,2350
data_publicacio_adjudicacio,2026-09,2023
data_publicacio_formalitzacio,2019-01,1
data_publicacio_formalitzacio,2021-03,1
data_publicacio_formalitzacio,2021-07,2
data_publicacio_formalitzacio,2021-09,4
data_publicacio_formalitzacio,2021-10,1
data_publicacio_formalitzacio,2021-11,2
data_publicacio_formalitzacio,2021-12,1
data_publicacio_formalitzacio,2022-02,3
data_publicacio_formalitzacio,2022-03,2
data_publicacio_formalitzacio,2022-04,4
data_publicacio_formalitzacio,2022-05,1
data_publicacio_formalitzacio,2022-06,4
data_publicacio_formalitzacio,2022-07,1
data_publicacio_formalitzacio,2022-09,6
data_publicacio_formalitzacio,2022-11,3
data_publicacio_formalitzacio,2022-12,1
data_publicacio_formalitzacio,2023-01,2
data_publicacio_formalitzacio,2023-02,2
data_publicacio_formalitzacio,2023-03,3
data_publicacio_formalitzacio,2023-04,3
data_publicacio_formalitzacio,2023-05,3
data_publicacio_formalitzacio,2023-06,5
data_publicacio_formalitzacio,2023-07,10
data_publicacio_formalitzacio,2023-08,8
data_publicacio_formalitzacio,2023-09,6
data_publicacio_formalitzacio,2023-10,5
data_publicacio_formalitzacio,2023-11,1
data_publicacio_formalitzacio,2023-12,6
data_publicacio_formalitzacio,2024-01,7
data_publicacio_formalitzacio,2024-02,5
data_publicacio_formalitzacio,2024-03,6
data_publicacio_formalitzacio,2024-04,10
data_publicacio_formalitzacio,2024-05,4
data_publicacio_formalitzacio,2024-06,3
data_publicacio_formalitzacio,2024-07,8
data_publicacio_formalitzacio,2024-08,4
data_publicacio_formalitzacio,2024-09,18
data_publicacio_formalitzacio,2024-10,9
data_publicacio_formalitzacio,2024-11,13
data_publicacio_formalitzacio,2024-12,9
data_publicacio_formalitzacio,2025-01,2786
data_publicacio_formalitzacio,2025-02,2233
data_publicacio_formalitzacio,2025-03,2508
data_publicacio_formalitzacio,2025-04,2036
data_publicacio_formalitzacio,2025-05,2439
data_publicacio_formalitzacio,2025-06,2258
data_publicacio_formalitzacio,2025-07,2797
data_publicacio_formalitzacio,2025-08,1694
data_publicacio_formalitzacio,2025-09,2348
data_publicacio_formalitzacio,2025-10,2156
data_publicacio_formalitzacio,2025-11,2032
data_publicacio_formalitzacio,2025-12,2016
data_publicacio_formalitzacio,2026-01,2328
data_publicacio_formalitzacio,2026-02,2417
data_publicacio_formalitzacio,2026-03,2523
data_publicacio_formalitzacio,2026-04,1945
data_publicacio_formalitzacio,2026-05,2168
data_publicacio_formalitzacio,2026-06,2381
data_publicacio_formalitzacio,2026-07,2559
data_publicacio_formalitzacio,2026-08,1661
data_publicacio_formalitzacio,2026-09,1486
data_publicacio_anul,2023-02,1
data_publicacio_anul,2023-03,2
data_publicacio_anul,2023-05,1
data_publicacio_anul,2023-09,4
data_publicacio_anul,2023-11,1
data_publicacio_anul,2024-02,2
data_publicacio_anul,2024-04,3
data_publicacio_anul,2024-08,1
data_publicacio_anul,2024-11,3
data_publicacio_anul,2024-12,2
data_publicacio_anul,2025-01,324
data_publicacio_anul,2025-02,870
data_publicacio_anul,2025-03,449
data_publicacio_anul,2025-04,887
data_publicacio_anul,2025-05,1491
data_publicacio_anul,2025-06,374
data_publicacio_anul,2025-07,539
data_publicacio_anul,2025-08,251
data_publicacio_anul,2025-09,868
data_publicacio_anul,2025-10,683
data_publicacio_anul,2025-11,455
data_publicacio_anul,2025-12,1085
data_publicacio_anul,2026-01,676
data_publicacio_anul,2026-02,710
data_publicacio_anul,2026-03,401
data_publicacio_anul,2026-04,382
data_publicacio_anul,2026-05,812
data_publicacio_anul,2026-06,535
data_publicacio_anul,2026-07,704
data_publicacio_anul,2026-08,290
data_publicacio_anul,2026-09,225
data_publicacio_previ,2018-02,2
data_publicacio_previ,2018-10,1
data_publicacio_previ,2019-02,9
data_publicacio_previ,2019-03,1
data_publicacio_previ,2019-07,2
data_publicacio_previ,2019-09,1
data_publicacio_previ,2020-03,1
data_publicacio_previ,2020-05,1
data_publicacio_previ,2021-01,2
data_publicacio_previ,2021-03,1
data_publicacio_previ,2021-04,3
data_publicacio_previ,2021-07,1
data_publicacio_previ,2021-08,1
data_publicacio_previ,2022-03,2
data_publicacio_previ,2022-04,1
data_publicacio_previ,2022-06,11
data_publicacio_previ,2022-11,3
data_publicacio_previ,2022-12,10
data_publicacio_previ,2023-02,3
data_publicacio_previ,2023-03,4
data_publicacio_previ,2023-05,5
data_publicacio_previ,2023-06,11
