month,placsp_aggregated_entry_updated,placsp_native_entry_updated,gencat_rows_latest_publication_column
2025-01,8541,1347,53884
2025-02,9025,1393,77077
2025-03,9049,1594,41606
2025-04,8577,1335,49286
2025-05,9922,1572,52591
2025-06,9147,1598,20339
2025-07,12046,1908,72098
2025-08,10978,913,34141
2025-09,8108,1496,16220
2025-10,9351,1692,81043
2025-11,9182,1653,45393
2025-12,6760,1317,33767
2026-01,9726,1267,65451
2026-02,8580,1483,72195
2026-03,9789,1770,41154
2026-04,8535,1721,65546
2026-05,8811,1596,63921
2026-06,9348,1874,21435
2026-07,10110,1908,97674
2026-08,5841,852,47791
2026-09,5847,899,18357
